Unnamed: 0,pct_above_50dma,pct_above_200dma,valid_stocks_50dma,valid_stocks_200dma
2025-05-21,88%,50%,468.0,434.0
2025-05-22,87%,50%,468.0,434.0
2025-05-23,86%,52%,468.0,434.0
2025-05-26,86%,54%,468.0,434.0
2025-05-27,85%,54%,468.0,434.0
2025-05-28,82%,53%,468.0,434.0
2025-05-29,82%,55%,468.0,434.0
2025-05-30,81%,52%,468.0,435.0
2025-06-02,82%,54%,468.0,435.0
2025-06-03,79%,53%,468.0,436.0
2025-06-04,79%,53%,468.0,436.0
2025-06-05,79%,57%,468.0,436.0
2025-06-06,82%,58%,468.0,436.0
2025-06-09,87%,64%,468.0,436.0
2025-06-10,87%,64%,468.0,436.0
2025-06-11,85%,65%,468.0,436.0
2025-06-12,81%,60%,468.0,436.0
2025-06-13,76%,58%,468.0,436.0
2025-06-16,78%,61%,468.0,436.0
2025-06-17,74%,60%,468.0,436.0
2025-06-18,72%,58%,468.0,436.0
2025-06-19,61%,52%,468.0,436.0
2025-06-20,64%,54%,468.0,436.0
2025-06-23,66%,56%,468.0,437.0
2025-06-24,71%,58%,468.0,437.0
2025-06-25,76%,62%,468.0,437.0
2025-06-26,78%,62%,468.0,437.0
2025-06-27,81%,64%,468.0,437.0
2025-06-30,81%,65%,468.0,437.0
2025-07-01,79%,63%,468.0,437.0
2025-07-02,77%,63%,468.0,437.0
2025-07-03,78%,64%,468.0,437.0
2025-07-04,80%,66%,468.0,438.0
2025-07-07,78%,65%,468.0,438.0
2025-07-08,78%,66%,468.0,438.0
2025-07-09,78%,68%,468.0,438.0
2025-07-10,77%,67%,468.0,438.0
2025-07-11,70%,65%,468.0,438.0
2025-07-14,68%,64%,469.0,438.0
2025-07-15,75%,68%,469.0,438.0
2025-07-16,77%,70%,470.0,438.0
2025-07-17,76%,71%,470.0,438.0
2025-07-18,70%,69%,470.0,438.0
2025-07-21,70%,69%,470.0,438.0
2025-07-22,64%,68%,470.0,438.0
2025-07-23,63%,68%,470.0,438.0
2025-07-24,60%,69%,470.0,438.0
